nameofjob,nameofcompany,location,jobannouncementtime,jobtype,workmode,skills,joblink,Salary,job_skills,description,requirements
Data Engineer,Misr Elhegaz Group -,"Heliopolis, Cairo, Egypt",9 days ago,Full Time,On-site,"Full Time
On-site
Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology ·
Data Engineering
·
Big Data Technologies",https://wuzzuf.net/jobs/p/xldbi3o0hwoa-data-engineer-misr-elhegaz-group-cairo-egypt,Confidential,"Data Engineering
Big Data Technologies"," Design, build, and maintain robust data pipelines (ETL/ELT) for data ingestion, transformation, and loading.
Develop and manage data architectures including databases, data warehouses, and data lakes.
Optimize data systems for performance and scalability.
Ensure data integrity, security, and privacy in accordance with company policies and regulations.
Collaborate with data analysts, data scientists, and software engineers to meet business data needs.
Monitor data workflows and troubleshoot issues as they arise.
Create and maintain documentation related to data systems and pipelines.
Participate in data quality improvement initiatives.
 ","Solid experience of using Power BI tool 
Proven experience in data analysis 
Industrial Engineering or Information Technology Graduate 
3 Years of experience in same position 
Familiar with creating and presenting dashboards "
Senior Data Engineer,Creo Technologies -,"Maadi, Cairo, Egypt",21 days ago,Full Time,Hybrid,"Full Time
Hybrid
Experienced · 3 - 7 Yrs of Exp · IT/Software Development ·
Data Engineering
·
Data Modeling
· ETL Development
·
Data Warehousing
· Azure Administration
· Synapse Analytics
· Microsoft Fabric
· Azure Platform Knowledge
·
Azure Data Factory",https://wuzzuf.net/jobs/p/phx4xzcl6yr0-senior-data-engineer-creo-technologies-cairo-egypt,Confidential,"Data Engineering
Data Modeling
ETL Development
Data Warehousing
Azure Administration
Synapse Analytics
Microsoft Fabric
Azure Platform Knowledge
Azure Data Factory
SSIS
Power BI
Alteryx
SQL
Git, Azure DevOps, or similar tools","Job Description
We are seeking a Senior Data Engineer with 3 to 6 years of experience to join our growing team. This role involves designing, developing, and maintaining scalable data solutions using the Azure ecosystem. You will collaborate with international clients and internal teams to deliver clean, reliable, and optimized data pipelines that support enterprise analytics and decision-making.
Key Responsibilities
Design and build scalable data pipelines using Azure Data Factory, Synapse Analytics, and Microsoft Fabric
Develop and maintain data models and enterprise data warehouse architectures
Optimize SQL queries and apply performance tuning best practices
Administer and monitor Azure data environments, ensuring security, availability, and cost-efficiency
Maintain and enhance ETL processes using SSIS
Collaborate with analytics and business teams to ensure high-quality data delivery
Work with Power BI (preferred) and Alteryx (a plus) within the broader data stack","Required Qualifications
3 to 6 years of experience in data engineering or related roles
Strong hands-on experience with:
Azure Data Factory
Synapse Analytics
Microsoft Fabric
Mastery of SQL and advanced query optimization
Proficiency in SSIS for ETL development
Experience with Azure administration (resource management, access control, cost optimization)
Deep understanding of data modeling, data warehousing, and data transformation workflows
Fluent English communication skills (required for working with international clients)
Microsoft Azure certification (e.g., Data Engineer Associate or similar)
Bachelor’s degree in Computer Science, Engineering, or a related field
Preferred Skills
Experience with Power BI (data modeling, DAX, visualization)
Working knowledge of Alteryx (Is a plus)
Familiarity with CI/CD and DevOps for data pipelines
Understanding of data governance, security, and compliance
What We Offer
Competitive salary based on experience
Health insurance
Hybrid working model (Cairo office + remote flexibility)
Exposure to top-tier global clients across multiple sectors
A collaborative, modern, and growth-focused team environment"
Data Management Engineer,MOBILY INFOTECH LTD INDIA -,"New Cairo, Cairo, Egypt",18 days ago,Full Time,Hybrid,"Full Time
Hybrid
Experienced · 8 - 10 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology ·
Data Management
· Informatica
· Axon
· EDC
·
DATA PROTECTION",https://wuzzuf.net/jobs/p/olaufiqcjo1p-data-management-engineer-mobily-infotech-ltd-india-cairo-egypt,Confidential,"Data Management
Informatica
Axon
EDC
DATA PROTECTION","Job Description 
Have the skills necessary to create and maintain a data management framework that establishes roles and responsibilities for data governance and decision making to meet the enterprise's data objectives and goals.
Responsible for loading and validating data into the data management framework
Responsible for building end to end lineage for all data assets within the data management framework
Investigate data quality related issues and able to identify root causes and build solution plan
Investigate data management platform related issues and optimize performance
Have the skills necessary to understand organization data & current analytical landscape complex data models
Database expert and able to perform environment assessment & optimize performance up to max extend within available resources
Knowledge of industry leading data quality and data protection management practices
Knowledge of data governance practices, business and technology issues related to management of enterprise information assets and approaches related to data protection
Knowledge of data related government regulatory requirements and emerging trends and issues
Understand the overall core concepts for analytics and data management
Monitors usage of the data management platform to identify potential capacity overloads and bottlenecks
Collaborates with different stakeholders  to identify, define, develop and implement new requirements
Ability to prioritize tasks and work concurrently on multiple tasks.
Good to have advanced statistical and machine learning knowledge to discover similar data and subsets of data, helping users find the most relevant and trusted data the business needs.","Knowledge of industry leading data quality and data protection management practices
Knowledge of data governance practices, business and technology issues related to management of enterprise information assets and approaches related to data protection
Knowledge of data related government regulatory requirements and emerging trends and issues
Understand the overall core concepts for analytics and data management
Monitors usage of the data management platform to identify potential capacity overloads and bottlenecks
Collaborates with different stakeholders  to identify, define, develop and implement new requirements
Ability to prioritize tasks and work concurrently on multiple tasks.
Good to have advanced statistical and machine learning knowledge to discover similar data and subsets of data, helping users find the most relevant and trusted data the business needs.
 "
ML Data Engineer,Confidential -,"Cairo, Egypt",23 days ago,Full Time,On-site,"Full Time
On-site
Experienced · 7 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology
· Python
· Cloudera
· Hadoop
· Hive
· Spark
· HDFS
·
Azure Data Lake
· PySpark",https://wuzzuf.net/jobs/p/xmrzj6xbs8mf-ml-data-engineer-cairo-egypt,Confidential,"Python
Cloudera
Hadoop
Hive
Spark
HDFS
Azure Data Lake
PySpark
Azure Pipelines
SQL","The ML Data Engineer is responsible for designing, implementing, and maintaining a centralized feature repository for scalable machine learning development. This includes building PySpark pipelines, maintaining feature lineage and metadata, ensuring governance and consistency across training and inference, and aligning MLOps architecture via Cloudera and Hopsworksintegration.
Overall Responsibilities:
• Design, build, and maintain robust data pipelines and centralized feature stores.
• Enable consistent, reusable, and governed features for ML development and inference.
• Collaborate with data scientists to transform raw data into model-ready features.
• Ensure data validation, versioning, and lineage to support explainability and trust.
• Streamline data workflows to reduce model development cycle time.
• Contribute to feature documentation, reusability frameworks, and metadata tracking.
• Support experimentation through scalable access to pre-processed and curated features.

Technical Responsibilities:
• Develop and orchestrate batch and streaming pipelines using Cloudera, Hadoop, Hive, and Spark.
• Build and manage centralized Feature Stores to ensure training-serving consistency
• Implement data validation checks using tools like Great Expectations or custom scripts.
• Maintain feature lineage, version control, and data governance protocols.
• Integrate feature engineering processes with MLFlow and experiment tracking tools.
• Optimize feature pipelines for low latency and high throughput in real-time applications.
• Work with Data Scientists to improve data quality, resolve inconsistencies, and enable faster experimentation.
• Monitor feature drift, feature availability, and quality over time.

Tools & Technologies:
• Big Data & Storage: Cloudera, Hadoop, Hive, Spark, HDFS, Azure Data Lake
• Feature Store: Feast, Hopsworks, or custom implementations
• ETL Pipelines: PySpark, SQL, Airflow, Azure Pipelines
• Validation & Quality: Great Expectations, PyDeequ
• Versioning: DVC, Delta Lake
• Experiment Tracking: MLFlow
• Programming Languages: Python, SQL, PySpark
• Governance & Compliance: Audit Logs, Access Control, Metadata Tracking","Preferred Experience:
• 7-8+ years of experience as a Data Engineer or ML Data Engineer.
• Experience building and managing large-scale ETL workflows for ML use cases.
• Hands-on exposure to building and using feature stores in production.
• Strong knowledge of feature governance, versioning, and schema management.

Education & Certifications:
• Bachelor’s or Master’s degree in Data Engineering, Computer Science, or related discipline.
Certifications preferred:
Microsoft Azure Data Engineer Associate
Cloudera Data Engineer Certification
Databricks Data Engineer Associate "
Senior Data Engineer,Omnix International LLC -,"Cairo, Egypt",30 days ago,Full Time,Remote,"Full Time
Remote
Experienced · 5 - 12 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology ·
Azure Datafactory
·
Azure Data Factory
· Azure Synapses
· Azure pureview
· Computer Science
·
Data
·
Data Management
·
Engineering",https://wuzzuf.net/jobs/p/s0cnp9wzswjk-senior-data-engineer-omnix-international-llc-cairo-egypt,1500 To 2200 USD Per Month,"Azure Datafactory
Azure Data Factory
Azure Synapses
Azure pureview
Computer Science
Data
Data Management
Engineering
Information Technology (IT)
Python
Software Development
SQL
Azure","Job Title: Senior Data Engineer (Azure Data Engineer)
Job Location: Egypt (Remote/Hybrid)
Experience: at least 5 years in Data Engineering/Data Pipelines using Azure
 We’re looking for a Senior Data Engineer with 5+ years of experience building and managing data pipelines, primarily using Azure technologies. You’ll be responsible for ingesting, transforming, and integrating data from diverse sources to support analytics, master data management, and business decision-making.
 Roles & Responsibilties:
 Data Pipeline Development:
Build scalable ETL/ELT pipelines using Azure Data Factory.
Ensure smooth data movement across staging, processing, and analytical layers.
Optional: Use Azure Synapse Analytics for advanced processing.
 Data Source Analysis:
Analyze multiple structured and unstructured data sources to understand schemas, data quality, and relationships.
Assess and document the metadata, formats, and business rules of incoming data sets.
 Data Profiling & Matching:
Perform comprehensive data profiling to assess completeness, accuracy, uniqueness, and consistency of data.
Develop logic to match and reconcile records across different systems using keys, rules, or fuzzy matching techniques.
 Master Data Management (MDM):
Design and implement processes for building and maintaining golden master records.
Support creation and maintenance of master data across domains such as customer, product, asset, etc.
Handle data deduplication and standardization.
 ETL & Data Pipelines:
Build scalable data pipelines using Azure Data Factory for ingesting, transforming, and cleansing data from multiple sources.
Ensure efficient data movement across staging, processing, and analytical layers.
Leverage Azure Synapse Analytics (optional) for advanced data processing and analytics.
 Collaboration & Governance:
Work closely with business analysts, data stewards, and application owners to understand data definitions and ownership.
Enforce data governance standards and best practices.
 Performance & Optimization:
Monitor data workflows and optimize performance for large-scale processing.
Troubleshoot data issues and implement robust logging and monitoring.
 Required Qualifications:
5+ years of experience in data engineering and pipeline development.
Strong hands-on expertise with Azure Data Factory and SQL.
Proficiency in Python or PySpark for data processing.
Experience in data profiling, matching, and master data management (MDM).
Fluent in Arabic and English.
 Preferred Skills:
Experience with Azure Synapse, Azure Purview, or similar tools.
Familiarity with data modeling, cataloging, and privacy standards (e.g., GDPR).
Knowledge of ETL tools like Talend, SSIS, or Informatica is a plus.","5+ years of experience in data engineering and pipeline development.
Strong hands-on expertise with Azure Data Factory and SQL.
Proficiency in Python or PySpark for data processing.
Experience in data profiling, matching, and master data management (MDM).
Fluent in Arabic and English."
Enterprise Data Warehouse and Business intelligence Engineer (Microsoft Technology SSIS-SSAS),"The Micro, Small & Medium Enterprise Development Agency -","Dokki, Giza, Egypt",1 month ago,Full Time,On-site,"Full Time
On-site
Entry Level · 1 - 5 Yrs of Exp · IT/Software Development
· BI
· Business Intelligence
·
Data Warehousing
· Power BI
· SSAS
· SSIS
· Computer Science
·
Data Analysis
·
Engineering",https://wuzzuf.net/jobs/p/jchrh3unqyz6-enterprise-data-warehouse-and-business-intelligence-engineer-microsoft-technology-ssis-ssas-the-micro-small-medium-enterprise-development-agency-giza-egypt,Confidential,"BI
Business Intelligence
Data Warehousing
Power BI
SSAS
SSIS
Computer Science
Data Analysis
Engineering
ETL
Information Technology (IT)
SQL","Lead the design and development of data warehouse solutions tailored for complex projects, managing large volumes of data with Microsoft SQL Server Integration Services (SSIS) for efficient extraction, transformation, and loading (ETL).
Harness the power of Microsoft SQL Server Analysis Services (SSAS) to architect and implement multidimensional and tabular data models capable of handling extensive datasets, facilitating in-depth business analysis and reporting.
Develop highly interactive reports, dashboards, and paginated reports using Microsoft SQL Server Reporting Services (SSRS) and MS Power BI to distill insights from vast datasets, leveraging advanced visualization techniques and AI capabilities to provide actionable insights.
Drive optimization efforts for data warehouse performance and scalability, utilizing cutting-edge techniques and best practices in SSIS, SSAS, SSRS, and Power BI to ensure seamless operations in the face of complex project requirements and massive data volumes.
Collaborate closely with business stakeholders to meticulously gather and refine requirements, translating them into actionable data solutions that align with project objectives and effectively address the challenges posed by large-scale data processing.
Provide invaluable technical leadership and mentorship to junior team members, guiding them through the intricacies of managing complex projects and large datasets within the Microsoft BI ecosystem, while fostering their growth into proficient BI professionals.
Proactively monitor system performance and implement robust solutions to enhance data quality, reliability, and efficiency, safeguarding the integrity and accuracy of insights derived from extensive datasets in mission-critical projects.","Bachelor’s degree in computer science, engineering, or related field
3-5 years of hands-on experience in data warehousing, BI development, or related roles, with a proven track record of successfully managing complex projects and large volumes of data using Microsoft technologies.
Proficiency in Microsoft SQL Server Integration Services (SSIS) for ETL development and automation, particularly in the context of handling substantial datasets and intricate project requirements.
Extensive experience with Microsoft SQL Server Analysis Services (SSAS), adept at architecting and implementing robust data models capable of accommodating the complexities of large-scale data analysis.
Strong skills in Microsoft SQL Server Reporting Services (SSRS) and MS Power BI, demonstrating proficiency in developing impactful reports and visualizations, as well as leveraging AI capabilities for enhanced insights.
Preferred Experience with AI technologies and machine learning within the context of BI solutions preferred, showcasing the ability to integrate AI-driven analytics to provide predictive and prescriptive insights.
Exceptional SQL skills for data manipulation, querying, and optimization, essential for efficiently managing and processing vast amounts of data within the context of complex projects.
In-depth understanding of data warehousing concepts, dimensional modeling, and data governance principles, crucial for designing and implementing scalable solutions capable of meeting the demands of large-scale data processing"
Software Engineer (AI & Data Analytics),Confidential -,"Maadi, Cairo, Egypt",30 days ago,Full Time,On-site,"Full Time
On-site
Experienced · 3 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology
· Analysis
· Information Technology (IT)
· Cloud
·
Software Engineering
· Software Development
· Java
· Programming
· AWS",https://wuzzuf.net/jobs/p/hllsrabdljox-software-engineer-ai-data-analytics-cairo-egypt,Confidential,"Analysis
Information Technology (IT)
Cloud
Software Engineering
Software Development
Java
Programming
AWS
Python
Azure","As a Software Engineer, your main role will be to harness the power of AI and machine learning to analyze large datasets of voice recordings. You'll develop algorithms to process speech, extract meaningful data, and automate decision-making processes. This role will focus heavily on AI-driven insights, speech recognition, and sentiment analysis to provide actionable data for business improvement.
Responsibilities include:
Develop and implement AI models for speech-to-text conversion and sentiment analysis.
Build data pipelines for processing and analyzing large volumes of voice data.
Use machine learning algorithms to extract insights from voice recordings, such as customer sentiment, intent, and key topics.
Collaborate with cross-functional teams to drive AI-powered solutions that improve customer service.
Design automated systems to categorize and route calls based on analysis of recorded conversations.
Work with stakeholders to design intuitive data visualizations and reports for actionable insights.
Continuously improve AI models and algorithms for greater accuracy and efficiency.","Strong background in AI, machine learning, or data science, with a focus on speech data.
Experience with speech recognition technologies, NLP, or sentiment analysis.
Proficiency in programming languages such as Python or Java.
Familiarity with AI frameworks (TensorFlow, Py Torch, etc.) and data processing libraries.
Experience working with cloud-based AI services (AWS, GCP, Azure).
Strong problem-solving skills and ability to innovate in the AI space.
Excellent communication and collaboration skills.
Preferred Qualifications:
Experience with large-scale data analysis and natural language processing.
Familiarity with customer service or call center environments.
Previous experience deploying AI models in production environments."
Data Science Instructor,EpsilonAI -,"Nasr City, Cairo, Egypt",4 days ago,Full Time,Hybrid,"Full Time
Part Time
Freelance / Project
Hybrid
Entry Level · 1+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Training/Instructor ·
Data Science
· Computer Science
·
Computer Engineering
· Python
· Machine Learning
· Deep Learning
· Artificial Intelligence (AI)",https://wuzzuf.net/jobs/p/f2mpxj1rzhp1-data-science-instructor-epsilonai-cairo-egypt,300 To 600 EGP Per Hour,"Data Science
Computer Science
Computer Engineering
Python
Machine Learning
Deep Learning
Artificial Intelligence (AI)
Software Engineering
OOP
Programming
Mathematics
Mathematics Teaching
Mathematics Curriculum
applied mathematics
Information Technology (IT)
Software Development","Epsilon AI Academy is hiring Data Science instructors who Manage and delivers the course materials to trainees in an engaging thought-provoking manner
The successful candidate will be able to contribute to the delivery of topics relating to Artificial Intelligence, Machine Learning, Data Science and Programming
Engage in the classroom and reply to emails, Trainees’ questions, etc. within 24 hours on non-holiday weekdays.
Evaluate and grade Trainees' class work, assignments, and papers within the timeframe set forth by Epsilon AI policy providing effective feedback to guide Trainees' learning and success.
Maintain the cadence of the course: Keep Trainees on track, monitor each individual's progress, and design and implement learning or service interventions when Trainees fall behind","Expert level in Python including Numpy, Pandas, Scikit-learn
Proficiency in Relational and non-relational databases, and Cloud computing with in-depth knowledge of machine learning and artificial intelligence libraries, and APIs.
Strong foundation in Mathematics
Expert level in MLlib
Excellent programming skills (including OOP and preferably functional programming)
Solid Understanding of Machine Learning Models; Data Preparation, Cleaning up data; Mathematics; Model Deployment
Solid understanding of Data Science techniques
Excellent software engineering skills (Agile methodologies, Git, continuous development, etc.)
Lead project sprints, helping Trainees scope and execute larger technical projects to demonstrate mastery of each content module
Diligently respond to Trainees needs and questions during the course schedule
Acts as a technical mentor guiding Trainees on a technical journey of discovery
Working experience in data science
Bachelor’s degree (or higher) in -Computer Science or related field preferred
A minimum of 1-year experience with research/development/application of Data Science
Experience using technology and interactive electronic materials to support teaching and learning.
Experience using a Learning Management System such as Google Classroom, Canvas"
Electrical Pre Sales Engineer,UNI Power -,"6th of October, Giza, Egypt",19 hours ago,Full Time,On-site,"Full Time
On-site
Experienced · 2 - 4 Yrs of Exp · males_only · Engineering - Construction/Civil/Architecture · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical ·
Electrical Engineering
· Pre-Sales
· Datecenter
· AutoCAD
· Electrical Design
· Power Systems Analysis
· Low Voltage & Medium Voltage Systems",https://wuzzuf.net/jobs/p/hnguhotyvntx-electrical-pre-sales-engineer-uni-power-giza-egypt,Confidential,"Electrical Engineering
Pre-Sales
Datecenter
AutoCAD
Electrical Design
Power Systems Analysis
Low Voltage & Medium Voltage Systems
PLC & SCADA Systems
Renewable Energy Solutions
UPS & Power Quality Solutions
Switchgear, MCC, and Distribution Panels
Cabling & Wiring Calculations
Revit MEP
Solar Energy
Data Center Management","#Position_Overview:

The selected candidate will be responsible for designing reliable, efficient, and scalable power and cooling infrastructures for data centers, including UPS, batteries, precision cooling, power distribution, and fire suppression systems.
This role will work closely with sales, presales engineers and vendors to deliver technical and commercial proposals that meet international standards and customer requirements.

#Key_Responsibilities:

1-Provide in-depth technical knowledge and support for power and cooling infrastructure for data centers.
2-Prepare technical proposals, BOQ, single-line diagrams, and design documents for customer tenders and RFPs.
3-Support sales and presales team in customer presentations, workshops, and solution defense meetings.
4-Participate in site surveys and assessments to validate requirements.
5-Analyze customer requirements and design customized solutions that meet their specific needs and align with industry best practices.
6-Developing and delivering technical presentations, proposals, and product demonstrations to potential clients.
7-Build and maintain strong relationships with customers, understanding their technical requirements and providing expert guidance throughout the sales process.
8-Stay updated on the latest industry trends, technologies, and product developments to effectively position our solutions in the market.
9-Work closely with cross-functional teams, including sales and execution sector to ensure a seamless transition from pre-sales to implementation.
 ","#Qualifications:

1-Education: Bachelor’s degree in Electrical Engineering.
2-Certificates: CDCP or CDCS is recommended. 
3-Experience: Minimum of 4 years of experience in data center design."
AI Researcher / AI Engineer,Arabian Data -,"Nasr City, Cairo, Egypt",6 days ago,Full Time,On-site,"Full Time
On-site
Student · 1+ Yrs of Exp · R&D/Science · IT/Software Development · Engineering - Telecom/Technology
· Machine Learning
· Natural Language Processing
· Deep Learning
· Artificial Intelligence
· Computer Vision
·
Data Engineering
· Statistical Modeling",https://wuzzuf.net/jobs/p/xxac9og6lkka-ai-researcher-ai-engineer-arabian-data-cairo-egypt,"Confidential, - Competitive Salary - Equity Options - Bonuses. - Paid Time Off - Health Insurance - Fast-Paced Startup Environment With Direct Impact","Machine Learning
Natural Language Processing
Deep Learning
Artificial Intelligence
Computer Vision
Data Engineering
Statistical Modeling
Algorithm Development
Data Analysis
Scientific Research
Research
Research Analysis","We are seeking a talented AI Researcher / AI Engineer who thrives at the intersection of research and engineering. In this role, you will design, implement, and evaluate cutting-edge models for natural language processing, computer vision, and speech technologies, with a strong focus on Arabic-language AI systems. You will collaborate closely with our data annotation and infrastructure teams to ensure seamless model development and deployment. This is a full-time, in-person position based in Cairo.","Strong background in machine learning, deep learning, or AI research (MSc/PhD preferred, but exceptional BSc candidates will be considered)
Proficiency with frameworks such as PyTorch, TensorFlow, or JAX
Solid programming experience in Python and familiarity with libraries such as NumPy, Pandas, scikit-learn, and Hugging Face Transformers
Knowledge of large language models, multimodal architectures, and fine-tuning methods
Experience with cloud computing and GPU training (AWS, GCP, or Azure)
Ability to read research papers and translate ideas into practical experiments
Strong problem-solving and analytical skills
 Nice to Have:
Experience with Arabic language technologies (tokenization, morphology, NLP challenges)
Contributions to open-source projects or published research
Knowledge of data annotation workflows and active learning techniques"
